trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
51d9899a,2026-05-15 11:01:00,QQQ,0.2232,1.004,710.2955,709.855,신호소멸,-0.00062,0,0.0
25a816af,2026-05-15 11:16:00,QQQ,0.3027,1.004,710.1955,710.335,신호소멸,0.000196,0,1.0
184f1779,2026-05-15 11:44:00,QQQ,0.2281,1.004,710.8755,710.335,신호소멸,-0.00076,0,0.0
d5451ecd,2026-05-15 11:52:00,QQQ,0.2956,1.004,709.5055,709.75,신호소멸,0.000345,0,1.0
c6b1b049,2026-05-15 12:02:00,QQQ,0.2538,1.004,710.6555,710.58,신호소멸,-0.000106,0,0.0
e70dc1a5,2026-05-15 12:20:00,QQQ,0.3466,1.004,710.0055,711.34,신호소멸,0.00188,0,1.0
a34a791e,2026-05-15 12:48:00,QQQ,0.2665,1.004,711.8306,711.94,신호소멸,0.000154,0,1.0
479a8812,2026-05-15 13:07:00,QQQ,0.3188,1.004,711.8756,711.94,신호소멸,9e-05,0,1.0
9f2f5bce,2026-05-15 13:19:00,QQQ,0.6919,1.004,712.0956,713.31,신호소멸,0.001705,0,1.0
a3f2589a,2026-05-15 14:05:00,QQQ,0.2889,1.004,714.6008,713.31,신호소멸,-0.001806,0,0.0
1b08f5db,2026-05-15 14:39:00,QQQ,0.2224,1.004,712.4756,712.09,신호소멸,-0.000541,0,0.0
fa34218a,2026-05-15 14:46:00,QQQ,0.2504,1.004,712.0326,712.09,신호소멸,8.1e-05,0,1.0
f1562ba1,2026-05-15 14:53:00,QQQ,0.3803,1.004,712.5556,712.7524,신호소멸,0.000276,0,1.0
72df1d06,2026-05-15 15:15:00,QQQ,0.2297,1.004,711.1656,710.91,신호소멸,-0.000359,0,0.0
024ba53b,2026-05-15 15:23:00,QQQ,0.2611,1.004,710.9955,710.91,신호소멸,-0.00012,0,0.0
637d5d61,2026-05-15 15:41:00,QQQ,0.3651,1.004,711.2556,710.465,EOD_REDUCE_50%,-0.001112,0,0.0
d5479c65,2026-05-18 10:08:00,QQQ,0.2474,1.054,708.5254,709.585,신호소멸,0.001496,0,1.0
b4fa6a5e,2026-05-18 10:17:00,QQQ,0.3256,1.054,710.0855,704.36,신호소멸,-0.008063,0,0.0
cf09aaf7,2026-05-18 10:59:00,QQQ,0.4558,1.054,705.3053,704.69,신호소멸,-0.000872,0,0.0
511c1e6b,2026-05-18 11:11:00,QQQ,0.2404,1.054,704.5652,703.45,신호소멸,-0.001583,0,0.0
4f0e2565,2026-05-18 11:44:00,QQQ,0.2016,1.054,703.584,703.29,신호소멸,-0.000418,0,0.0
5bfd6ab9,2026-05-18 11:56:00,QQQ,0.5172,1.054,704.2452,699.745,신호소멸,-0.00639,0,0.0
1a0511af,2026-05-18 12:43:00,QQQ,0.6012,1.054,701.8051,703.831,신호소멸,0.002887,0,1.0
1478889d,2026-05-18 13:05:00,QQQ,0.252,1.054,703.5752,704.12,신호소멸,0.000774,0,1.0
c0721f94,2026-05-18 13:24:00,QQQ,0.2823,1.054,702.7651,703.975,신호소멸,0.001722,0,1.0
34ffc73a,2026-05-18 13:51:00,QQQ,0.2097,1.054,703.3852,703.58,신호소멸,0.000277,0,1.0
c335f0cf,2026-05-18 14:00:00,QQQ,0.6263,1.054,703.7552,702.26,신호소멸,-0.002125,0,0.0
49c9f97b,2026-05-18 14:11:00,QQQ,0.3626,1.054,701.9651,700.21,신호소멸,-0.0025,0,0.0
fa0b75f1,2026-05-18 14:39:00,QQQ,0.2412,1.054,700.185,699.66,신호소멸,-0.00075,0,0.0
04f97165,2026-05-18 15:09:00,QQQ,0.2226,1.054,701.7851,702.66,트레일링,0.001247,0,1.0
4250242d,2026-05-18 15:20:00,QQQ,0.2022,1.054,701.7851,702.3,신호소멸,0.000734,0,1.0
4d972158,2026-05-18 15:41:00,QQQ,0.3664,1.054,703.9452,704.62,EOD_REDUCE_50%,0.000959,0,1.0
9482f3da,2026-05-19 10:10:00,QQQ,0.2757,1.081,698.4249,697.66,신호소멸,-0.001095,0,0.0
9d66a0c2,2026-05-19 11:02:00,QQQ,0.2066,1.081,698.2649,698.13,신호소멸,-0.000193,0,0.0
3f0c80fd,2026-05-19 11:32:00,QQQ,0.2249,1.081,699.395,698.315,신호소멸,-0.001544,0,0.0
6d5e0e53,2026-05-19 11:48:00,QQQ,0.265,1.081,699.525,699.14,신호소멸,-0.00055,0,0.0
1161fb19,2026-05-19 12:19:00,QQQ,0.2327,1.081,700.045,700.23,신호소멸,0.000264,0,1.0
70e2a84c,2026-05-19 12:26:00,QQQ,0.4371,1.081,701.1951,702.1601,신호소멸,0.001376,0,1.0
e7fb4f78,2026-05-19 12:41:00,QQQ,0.2415,1.081,702.7951,702.8951,신호소멸,0.000142,0,1.0
